N,R,E
1,1.0,0.0
2,1.6114089968217562,0.2781989493357596
3,2.0943045388612402,0.5831186701609368
4,2.274436042919841,1.0272341960496674
5,2.6819066970073817,1.0887838321872834
6,2.9579697481246296,1.3126001367024571
7,3.2038259094088124,1.3866703060290875
8,3.4412445822861586,1.5360384377140515
9,3.7086547600289457,1.810618311412924
10,4.069976573095145,1.73483244188056
11,4.218706773316037,1.8424272827944017
12,4.34830200404267,1.8447743435051578
13,4.251429701251725,2.1247585628178594
14,4.377315996664137,2.333987084797543
15,4.661538359554695,2.3372549547758212
16,4.9192554712489045,2.541443460845351
17,5.205720487591358,2.6152397494536355
18,5.610232588220262,2.755094047239059
19,5.372842260866701,2.556147824411421
20,5.155521052083935,2.7775544474113474
21,6.125922860989516,3.004629726308731
22,5.7518136272128215,2.9471692177048436
23,6.495070755484565,3.3529384784188414
24,5.3947390425473305,2.7795248819616036
25,5.958217903419587,2.9520562002651665
26,6.07265380005673,3.1391248116159898
27,6.650569400448312,3.0492008651971063
28,6.93563359766583,3.8361382228640077
29,6.239054423012308,3.0024892848697164
30,6.522829239268862,3.525227042687121
31,7.16817377533505,3.7621081289437774
32,6.932787597742065,3.88018307375306
33,7.406806561929667,3.82630483883566
34,7.471053498770717,3.4763764489322626
35,7.418245237842418,3.7348807165879565
36,7.622423255518843,4.298563754425748
37,8.741121801531696,4.228323254825152
38,7.687532578072024,4.590300784228863
39,6.781595474775361,3.35858042105164
40,8.117241131853625,3.889922926153824
41,8.059754863912444,3.555383952398969
42,7.794154811286684,3.5360517933810867
43,7.798579140360917,4.082154458792913
44,8.257761463398072,4.327524623818321
45,8.309719911003691,4.348337676707675
46,8.776458285731998,4.552309057873181
47,8.601503672898184,4.2195113355423315
48,8.910599611932662,4.188940999988393
49,8.423638874326178,4.567573885126567
50,8.251462733635423,4.222854056557023
51,8.970956651460195,4.686913283302593
52,8.613562247323886,4.416402480027319
53,9.754583310328668,5.577327808751784
54,9.360625515656997,4.692811188955667
55,9.3766221264219,4.825945199987066
56,10.289858732758802,4.666904255763783
57,9.270700601143183,4.345647416392989
58,9.65887753507261,5.082631760229571
59,9.977655278045674,5.623242756987483
60,10.277806510691683,4.403448678260197
61,9.06491425832035,5.049317061167127
62,10.08368059617111,4.611136464120994
63,9.00239977595566,4.7155451706682046
64,10.406408522359413,4.6025784384867405
65,9.667169578175757,4.9093065365956825
66,9.895133511409293,5.105604383351556
67,9.369722568811557,4.211933282156591
68,10.454052274503226,5.663913748670034
69,10.037474750807899,5.337751552213989
70,10.79835158660614,5.528974501854846
71,10.517973357751467,5.373635530075204
72,10.725436775962802,6.002887307327443
73,10.519497020087343,5.348231882483897
74,10.570912765790423,4.422483615688087
75,10.102853885593875,4.656357675265524
76,10.394576634841268,5.463726232914318
77,11.28660585357637,5.1330939587227284
78,11.16840175292392,6.203182272683817
79,11.17090590116567,6.1848985408634665
80,10.96377660205485,5.343552998374487
81,11.041181382692566,5.9735447442224725
82,10.52808991731852,5.8694902606431425
83,11.712025925315368,5.809193852161254
84,11.026519182603034,5.6745073321693935
85,11.046480054071118,5.980387211473773
86,11.87692637713521,6.320443499504683
87,11.977653220280843,6.371120903580696
88,11.353039395693658,5.8599984167767545
89,12.321218874313171,5.6568048495402055
90,11.818887551165378,6.551109526136557
91,12.2402596990289,6.1877138690579585
92,11.644163965043626,5.712930947484952
93,12.199546130349614,5.710760453355271
94,12.11599821970356,6.0526533860400065
95,11.080287318658902,6.741624823833374
96,12.44094049208171,6.354150585971859
97,11.625541893905048,6.012091435581234
98,12.158720082896643,6.536603185540904
99,12.335132691506537,5.507535428642831
100,12.67096321969038,6.666420178484561
101,11.569681620665246,6.322490954394889
102,13.163348768087108,6.507957567608798
103,13.075780005307246,7.5209186290861645
104,13.93238318507729,7.109682536655017
105,12.11543934513814,6.180476581059221
106,12.329517353519055,7.000202271903664
107,12.664846114532809,6.729612888135189
108,12.431992522235875,6.6272179341215285
109,13.423124593354162,7.140582848255708
110,13.608775012132577,6.35368043702605
111,12.460421617119867,6.8055324593192585
112,14.936377378494628,7.210664124424732
113,12.239494627621553,6.137321807843169
114,12.325471424465782,7.284475389918222
115,13.342069063531019,7.935936304873433
116,13.469006184370333,6.706096564279974
117,12.831328193800612,5.892417750873345
118,15.083028692604032,7.81327510795981
119,12.707674338022029,7.6151272509370544
120,13.27397627355271,7.266331222016465
121,13.364034212819817,6.848840445956325
122,14.43957860567615,6.682331583168004
123,14.471380169239374,7.689925068381278
124,14.728686387259305,7.3672556137831995
125,14.018282245460147,7.1897594198612085
126,12.313222995798077,6.400655032909284
127,15.1617919666424,8.420882673678607
128,14.887795592287674,8.244821273155793
129,14.468038797386242,7.196708406688417
130,14.209062333668067,7.045819545937489
131,13.757860767303548,7.318365922701922
132,14.555267229359472,7.980328178762673
133,14.736115334259951,7.416560786775944
134,12.705308550869825,6.714230110255831
135,14.46894840660777,7.139049469431605
136,13.659978868338321,7.353844374863805
137,13.57171107372349,7.915601374291465
138,15.31026975792762,8.614615275151978
139,15.889539081248829,8.379007892544365
140,15.636249826010463,8.03385139844979
141,15.693600887890963,8.191336892309085
142,15.405611169235497,8.219112844300762
143,13.183793659443158,7.495295897606621
144,15.272022285514714,8.406722825444488
145,15.291637840143514,8.313691736379809
146,14.654273918321618,7.995297273151686
147,14.86227207671899,7.8252154861546686
148,15.589805561970492,8.378994102238853
149,15.363011699657061,8.726262099625606
150,16.539329804826114,8.604363736108699
151,14.207898614786016,7.684202829277819
152,16.121624627034027,8.578703373987242
153,16.238311454026764,8.450468243431452
154,16.418703784837582,8.570322496033489
155,15.26547945260156,7.488977797605061
156,15.525457480438398,8.532864215685748
157,15.967234828512934,7.936490789412836
158,15.688759034140931,7.912108970960142
159,16.516805563206884,8.508647679102143
160,16.338242149477075,8.44585471694258
161,14.218273212616594,7.654352612723251
162,16.35688845958849,8.676215875586934
163,16.17927243353494,8.732894992880135
164,16.03537400881478,8.756451804321296
165,15.91252426944464,7.99684231982091
166,15.488205531857393,7.379474527157845
167,15.938607034446488,8.534073696629758
168,17.287029161669576,8.279505359091301
169,17.104569430222103,8.111599204397285
170,15.460898289406979,8.739006255030288
171,15.953565086516006,8.671135948686336
172,17.09076371513832,8.625824806338493
173,16.78091240837302,8.58574333007559
174,15.64110388325151,8.011830502854378
175,17.043665531572394,8.083229546435636
176,18.109083206246815,8.986752276741687
177,16.3296085357716,7.74643943493653
178,16.347291483523296,8.67373747379144
179,16.819578973341454,8.964529033425313
180,16.26073318950643,8.484364543151182
181,17.216530949133183,8.653148138008195
182,16.388064873720026,8.485613884197846
183,16.894739988744803,8.364415001650405
184,17.15548882196109,9.825787261709046
185,16.875117590218462,8.480136224109993
186,17.579009429477978,8.671113639729764
187,16.595772486331924,9.101436092053135
188,17.89684604739157,9.017756404534577
189,16.60467910761564,8.877920817986816
190,17.565284881132555,9.931534358552186
191,17.20212302115159,9.362576205341036
192,17.769250607631598,9.423177286436665
193,18.5360930607451,8.717074428030962
194,16.847526608499695,8.676546297211448
195,18.707446499914553,8.846567690769287
196,17.911400363942395,10.224165216416928
197,18.160744746755682,9.768276395844751
198,18.04826095817731,8.197736221017852
199,18.97222268829833,10.306566544115176
200,18.636988588981986,9.650351439066707
201,18.645841185860018,9.246941793717705
202,17.463365295525527,9.378762246724511
203,17.43487835890837,9.072776133916745
204,16.72786309641763,8.295805095937604
205,16.900464646197978,8.888646561205952
206,17.651126166355,9.3210580145181
207,17.926882823752162,8.656970656395591
208,16.86510744277782,9.724393680481871
209,19.46357058513665,10.179936850402234
210,19.371505167024935,10.010606147460077
211,17.352256667165353,9.289681396171977
212,16.66802437236649,8.747498680046695
213,17.449976210320894,9.153322542215326
214,17.7044434517002,9.16505367612244
215,17.888145172084588,8.613036916526662
216,17.446928058051284,9.27581523913422
217,17.98489648904736,9.325177384963482
218,18.298928048399087,10.242105477015373
219,19.356961022702382,10.338817174379116
220,18.911677235314865,9.688753727324592
221,20.143209708531035,9.89563609196106
222,17.846298564816067,8.829763519528617
223,17.72757698827946,9.42551559681861
224,19.456234624718867,10.233742402961369
225,18.894832518801543,9.530223351386061
226,19.691931248722607,10.033450160963469
227,19.986823701622907,10.563245102876635
228,20.26123790642855,9.186787299382399
229,18.756542998034206,10.170743124792946
230,20.262006379091567,10.723134265157233
231,20.102393126446103,10.208953349668645
232,21.31257610482809,10.11097625225526
233,20.303851736620604,10.567929821109797
234,17.92867306501521,10.312531645967256
235,19.8897348257437,9.563076547179477
236,19.41317734277715,9.750888724237535
237,19.44288609845093,10.010190905486775
238,18.177784864299028,9.78487704580562
239,18.496356417298678,10.18791672900287
240,18.703719846634776,10.58832246097494
241,17.636935171348,9.899389018484147
242,18.631470093937256,10.793377847555828
243,18.87552456998854,9.840818966419235
244,17.430980269732448,9.19252610029257
245,19.322801707410058,9.166549379012366
246,20.87912758575586,11.744898959561375
247,21.265024054038104,10.34827229546037
248,20.044383801846557,10.905269587878792
249,20.04194356284746,10.312793181571791
250,21.106597196629252,10.667552218153642
251,18.452194658575962,10.13714345389474
252,19.970373075338664,10.15559162353954
253,20.28387558006664,10.352779113209174
254,21.304977362011428,9.495205053089814
255,21.078837913049988,11.442439344725411
256,21.389385235387884,10.624459574241525
257,19.10899789118499,10.034174684080124
258,21.413535009154938,11.685680279547817
259,19.73701778727213,10.551048770314377
260,19.17743915085864,10.373431731653
261,20.61405150346247,11.022771403722507
262,19.4455618973308,9.931204545373506
263,19.87119536350148,10.146770460289954
264,19.111774494189053,10.015362022418234
265,20.802621120657957,10.681454210708349
266,20.423934710188906,11.609975015626876
267,20.064214225393847,9.804671365868327
268,20.52068313816772,11.857933174813736
269,19.937992509358924,9.836219763898878
270,20.497595011742355,10.202307813526351
271,19.896886211697307,10.233526189420598
272,19.111053423160133,10.399774681582794
273,20.39183921300708,10.466356693996982
274,21.44506894970189,11.384643513081873
275,19.36734874892733,11.798510942563775
276,20.121275405802017,10.89153886300304
277,19.777079039690076,9.589880922327975
278,20.923065219879046,10.341547042040407
279,19.362524488752797,10.665531954697462
280,19.945590555194183,10.792365430182308
281,21.749780620672063,10.281367291472687
282,21.35287093640599,9.532861679523117
283,22.461231599710736,11.222210378280982
284,22.965625610245844,12.750915290022144
285,21.660315951013057,9.785142821201546
286,22.075676924568572,11.118054380389196
287,21.2537712970498,10.16316770053654
288,23.12287996195895,10.86304499150609
289,20.2458196329681,11.16323677358931
290,21.95931914096235,11.011184581779483
291,21.82268802630164,11.804151396003785
292,21.372654725447198,11.26861687549487
293,20.737850976052854,11.252153227892599
294,21.25358634518506,11.158311617016295
295,21.603457876262784,13.090206792347667
296,21.479714451867615,11.04663232559552
297,21.32728503698871,11.64510120525141
298,22.81636247091803,12.19785799358396
299,21.550653423459597,9.174695111672568
300,22.57720225932307,12.227536036464318
301,21.916660500202095,9.900837966761703
302,22.935862030848202,12.145192268174046
303,22.62980731932496,11.97249927530291
304,21.71322072060303,12.78207363449918
305,19.912632570402547,11.624626220111557
306,20.326023795812784,10.727594521539904
307,21.0950643131358,11.678965889192032
308,23.133694220941756,12.981545116390638
309,22.644048626293095,11.774953606200517
310,23.44950855186252,11.383398181689317
311,23.40974664778459,11.697589474135413
312,23.980824878895586,11.299081312612095
313,23.455608656586758,12.476488559468278
314,21.069413557420386,10.777783189035395
315,22.74610382170623,11.674369727804702
316,22.902824184583288,11.549686178150791
317,21.619884726193238,11.427877767563732
318,22.594066696735847,12.231239986382677
319,22.653349893755642,10.112566240919863
320,23.544855632706852,12.248108873101279
321,23.760583080977014,12.557031439337436
322,21.234389168355786,10.323358165504215
323,22.631196349433466,11.86917188818678
324,21.767024787969017,11.90540205951659
325,22.779528507993824,11.682209198735988
326,20.660706728651814,10.364677971233265
327,21.478685652954372,11.127565917476645
328,25.10428955343528,14.25245215664494
329,22.60606590141287,11.809548776544691
330,24.7027914908971,12.20695758503463
331,22.030867790491506,11.644624212135952
332,23.894670827815162,13.673885808016049
333,24.35960899575341,11.909892697658938
334,25.944074110851354,13.593162572262539
335,24.98338651074998,14.299604974929228
336,25.75595406233523,12.538625867385395
337,23.653490376112646,13.74509064929795
338,24.567918807803128,12.40731796593145
339,24.210163868520382,11.273714787681305
340,22.99213480840967,11.952211273293141
341,24.065297154909445,14.088296120339267
342,22.633441497583775,12.046767169461159
343,22.515138587667863,11.64857157431291
344,24.44614627483029,12.565420471782751
345,25.406410322924636,12.414083036947204
346,22.16741183237239,11.321303422333337
347,25.285786252440115,13.021724299487742
348,24.798930128874936,11.369397306269613
349,22.19591643952059,12.708450194414652
350,24.216269427651458,13.70138744644013
351,22.962900890272767,12.40976367746563
352,23.98913515779496,13.359888035640727
353,23.208197573209837,12.72805409545723
354,26.645219391632967,12.121576069450041
355,24.320224773565563,11.339397410483523
356,23.153606621294777,11.642577267538233
357,23.395681853965627,11.067903653985413
358,23.713941313956834,11.776479831927423
359,24.179368065841814,14.052819700541047
360,22.408542531959935,11.392795697688786
361,25.056130399126538,12.088102941164367
362,22.472677522981474,13.136535030119777
363,23.92235633870814,11.713585099187574
364,25.835201330269804,13.2630236351546
365,21.42063258546473,11.430575866285645
366,23.274656395610837,11.45396321641178
367,22.32377544929402,11.568731139861134
368,21.705845743718204,10.978379805572839
369,25.825761218282906,13.369007370451893
370,22.592027561346768,12.027314478886026
371,23.135220560424067,12.537112319698537
372,24.966116014901623,13.181804946280213
373,26.282183566669467,13.14645561501534
374,25.314287395115677,11.804182403464566
375,24.641474546709293,12.925003268298106
376,22.38958877936161,11.55999037343871
377,26.02183785426998,12.112084636136872
378,23.477949332573402,12.598958452526436
379,24.021014475976376,13.9108149358829
380,24.356410981969077,13.235289816176687
381,22.963108893944632,11.931160305020182
382,23.164626785580886,14.867887090760275
383,22.99166716346623,11.922544755832652
384,25.854417038157113,12.671409188137748
385,23.100659178191144,12.240634827834043
386,22.264467142422365,12.282362879048755
387,22.080025111697193,11.754455154429303
388,23.655158310466422,12.776455696312615
389,24.90437051441449,12.805469635025874
390,24.06445221016992,11.584954088070116
391,25.570228767021103,11.01067821754085
392,21.579131107549447,11.61225695761266
393,22.437540088397775,11.807301246659128
394,25.98677995971797,13.64016642121541
395,27.074418110389047,12.146425104683106
396,22.896746460257024,12.617305241217496
397,26.455861211411687,12.465082496243168
398,25.267643192756704,12.10213491737599
399,24.9152196588085,13.381858901021774
400,25.904004311382625,13.727067649073096
401,24.215676155808552,13.802428721068447
402,26.163500030589834,14.045852726367986
403,24.94760975515829,13.012414655988112
404,24.580693589828037,13.647981450361687
405,23.448782608126287,14.198103399355933
406,26.652762270855,13.86241558916126
407,25.255129745201145,12.988079371815793
408,26.207672253990715,13.889186231658039
409,23.7298258505874,12.508969531971923
410,25.86528007821684,14.28975714769684
411,25.77777816050023,13.155653333799798
412,27.360784353701106,13.91838188676282
413,26.142426680450992,12.954893381646045
414,24.84824057383542,11.416242367287374
415,23.901925395648078,12.618832830522887
416,27.679595481069523,16.057969795226267
417,26.29251738755403,12.809393612479111
418,25.45748588080132,13.275374825408493
419,24.57707673960679,14.96318722481389
420,26.25811715700394,13.448285994978908
421,27.51152660317683,13.134575097897935
422,25.08305997811036,12.84011305074311
423,24.514357128115588,13.5855348640074
424,23.88152276714679,13.168507851137576
425,25.31069770243421,14.512486610989566
426,26.0459861137391,12.961584526458907
427,26.822530966276236,14.313886645100416
428,27.274958934508568,13.994190983121529
429,24.581782144103858,13.332042097368841
430,27.468868625719836,13.229356333063746
431,26.01776975769884,12.435289035793476
432,27.79042175376174,16.297526908568877
433,25.165620184798968,11.539864657853801
434,26.168060813271072,13.410627099642895
435,26.650139607976737,13.834657909182395
436,28.63913080226741,14.839750293031358
437,24.732228984478848,13.72333844055073
438,27.373281838550508,12.279677349228429
439,26.54191323368574,13.940305244665657
440,25.73539123026591,13.533903154944031
441,26.803028461153254,14.903142016491515
442,26.98551617473451,15.072482740111983
443,27.644602651188503,15.609731057916425
444,27.424150917213865,13.810688105035778
445,25.64310054939216,13.040924359718572
446,26.685929167900607,13.137724167078918
447,25.283453496608296,12.467736325319613
448,26.317706182753412,14.493865070816875
449,27.23951837143576,13.149856473784642
450,25.75902959128064,12.787381219807422
451,27.095004531365202,13.981750131501853
452,28.178496098087823,13.087860070559653
453,25.142878517895333,13.102824750133115
454,26.3866421832967,13.442565433486786
455,27.95939473625974,14.229018534032182
456,24.802302197626084,12.077841850041281
457,27.156368522300845,14.51781544061632
458,24.27351473749238,13.929983744126465
459,27.602516282981746,13.89000020864668
460,26.141054645581093,13.280501294639091
461,24.65668611080466,14.225973018868869
462,26.73740371033347,15.014737935074074
463,26.097980762456427,13.022071806117443
464,28.710764154892132,14.822582158941895
465,27.707599056162252,15.149318271407008
466,26.4077569069375,12.931228823879641
467,26.440782104851735,13.450051750851733
468,28.45938138490272,14.980128414020326
469,25.924118450941418,14.385738888460834
470,25.432808283653326,12.237809666562233
471,25.422552953950312,14.91981029760862
472,28.66544642758312,14.200531782945166
473,28.474691827078328,14.339241423675382
474,27.104685467679793,15.24497904082289
475,25.652248484082964,12.43027631181109
476,28.75656974590577,16.513942394635674
477,28.157636157508062,12.769847347623564
478,24.71070075080395,11.472361617742846
479,27.13704031698323,15.370974375841334
480,28.380364022633007,12.642803776151338
481,28.883670574014584,15.024011112666352
482,27.770947415004294,15.51135791830609
483,26.170911558687166,16.172947228914346
484,25.013606175206167,12.615970084492306
485,26.018676526564427,13.965269654541775
486,28.26537401079458,15.047900795466365
487,28.203121487453473,14.989322124351707
488,27.700561572549113,15.498570174408655
489,29.204320646430176,14.983615456100612
490,27.27554439235423,12.928461814219077
491,26.839388803495524,15.48075194366692
492,28.566095651405142,14.144891693721796
493,28.807158652480407,17.13881811778547
494,26.60789482537147,12.517193467051223
495,27.40084592940591,14.297397622521698
496,24.786763520149186,12.863612157483743
497,26.646624633002148,15.070068666882774
498,28.529635551400514,15.053255271113503
499,26.458882944065678,13.917499361801767
